node,node_idx,win_start,win_end,duration,start_time,end_time
YARN6----hyg-gx-0004.odata.ncmp.unicom.local,0,599,600,1,1751658600000,1751659740000
YARN6----hyg-gx-0004.odata.ncmp.unicom.local,0,1102,1103,1,1751960400000,1751961540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,318,320,2,1751490000000,1751491740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,339,341,2,1751502600000,1751504340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,342,344,2,1751504400000,1751506140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,363,367,4,1751517000000,1751519940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,368,374,6,1751520000000,1751524140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,406,408,2,1751542800000,1751544540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,412,414,2,1751546400000,1751548140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,415,417,2,1751548200000,1751549940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,463,465,2,1751577000000,1751578740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,484,486,2,1751589600000,1751591340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,489,491,2,1751592600000,1751594340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,505,512,7,1751602200000,1751606940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,515,517,2,1751608200000,1751609940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,550,553,3,1751629200000,1751631540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,559,561,2,1751634600000,1751636340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,592,599,7,1751654400000,1751659140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,600,602,2,1751659200000,1751660940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,609,611,2,1751664600000,1751666340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,627,629,2,1751675400000,1751677140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,632,633,1,1751678400000,1751679540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,647,655,8,1751687400000,1751692740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,659,662,3,1751694600000,1751696940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,693,697,4,1751715000000,1751717940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,703,705,2,1751721000000,1751722740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,750,752,2,1751749200000,1751750940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,771,773,2,1751761800000,1751763540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,775,777,2,1751764200000,1751765940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,792,799,7,1751774400000,1751779140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,801,802,1,1751779800000,1751780940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,803,806,3,1751781000000,1751783340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,837,841,4,1751801400000,1751804340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,847,849,2,1751807400000,1751809140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,897,899,2,1751837400000,1751839140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,918,921,3,1751850000000,1751852340000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,937,944,7,1751861400000,1751866140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,947,950,3,1751867400000,1751869740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,981,985,4,1751887800000,1751890740000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,990,993,3,1751893200000,1751895540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1042,1044,2,1751924400000,1751926140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1061,1063,2,1751935800000,1751937540000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1065,1067,2,1751938200000,1751939940000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1082,1089,7,1751948400000,1751953140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1091,1094,3,1751953800000,1751956140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1125,1129,4,1751974200000,1751977140000
YARN6----hyg-gx-0018.odata.ncmp.unicom.local,1,1135,1137,2,1751980200000,1751981940000
YARN6----hyg-gx-0041.odata.ncmp.unicom.local,2,356,357,1,1751512800000,1751513940000
YARN6----hyg-gx-0041.odata.ncmp.unicom.local,2,394,395,1,1751535600000,1751536740000
YARN6----hyg-gx-0041.odata.ncmp.unicom.local,2,874,876,2,1751823600000,1751825340000
YARN6----hyg-gx-0061.odata.ncmp.unicom.local,3,1036,1037,1,1751920800000,1751921940000
